"","item_no","index","IC_LT_alt_targ","IC_ST_alt_max","VLrc_real","Mpc","prog_name","orig_prog","discrimination","difficulty","guessing","inattention","answer"
"16",16,3877,10.85716335,12.78478819,10,0.839758303,"prog28_I-II-V-iii_3_min_6.mp3","original_prog28_I-II-V-iii.mp3",1.48242098468641,-1.21525238969449,0.16,0.97,3
"17",17,1912,11.02430432,12.87843415,10,0.72522931,"prog14_I-bVII-I-IV_3_dim_4s.mp3","original_prog14_I-bVII-I-IV.mp3",1.48242098468641,-1.15810480001003,0.16,0.97,3
"18",18,4410,10.94644015,12.99388189,5,0.758987225,"prog32_I-viio-IV-I_2_aug_2f.mp3","original_prog32_I-viio-IV-I.mp3",1.48242098468641,-1.30583006148309,0.16,0.97,2
"19",19,1462,9.272315761,12.99388189,12,0.580018445,"prog11_I-IV-bVII-IV_3_maj_3f.mp3","original_prog11_I-IV-bVII-IV.mp3",1.48242098468641,-0.854026046063195,0.16,0.97,3
"20",20,3326,11.04256156,12.99388189,7,0.758987225,"prog24_I-II-iii-I_3_aug_0.mp3","original_prog24_I-II-iii-I.mp3",1.48242098468641,-1.27500005946315,0.16,0.97,3
"21",21,3203,8.290135078,12.87843415,1,0.742483976,"prog23_i-bVI-bVII-i_4_maj_3s.mp3","original_prog23_i-bVI-bVII-i.mp3",1.48242098468641,-1.13483807264646,0.16,0.97,4
"22",22,3598,10.88303243,12.87843415,15,0.622403636,"prog26_I-V-I-II_3_dim_1s.mp3","original_prog26_I-V-I-II.mp3",1.48242098468641,-0.956702595138702,0.16,0.97,3
"23",23,2255,11.85095356,12.87843415,3,0.274970546,"prog16_I-bVII-IV-bVII_4_aug_5s.mp3","original_prog16_I-bVII-IV-bVII.mp3",1.48242098468641,-1.21491000779829,0.16,0.97,4
"24",24,4780,10.95366093,12.87843415,2,0.321078333,"prog34_I-V-bvo-I_4_dim_5f.mp3","original_prog34_I-V-bvo-I.mp3",1.48242098468641,-1.20368057205856,0.16,0.97,4
"25",25,4540,10.92454067,13.57937487,14,0.444469445,"prog33_I-ii-I-ii_2_dim_2s.mp3","original_prog33_I-ii-I-ii.mp3",1.48242098468641,-0.921445939155926,0.16,0.97,2
"26",26,3790,11.52507768,12.78478819,8,0.443290865,"prog27_I-IV-ii-bVII_4_dim_3s.mp3","original_prog27_I-IV-ii-bVII.mp3",1.48242098468641,-1.15295752733276,0.16,0.97,4
"27",27,1768,11.00458779,12.99388189,6,0.443290865,"prog13_I-V-II-V_3_dim_3f.mp3","original_prog13_I-V-II-V.mp3",1.48242098468641,-1.1044438299778,0.16,0.97,3
"28",28,1847,9.444154155,12.87843415,14,0.655551937,"prog14_I-bVII-I-IV_2_min_1s.mp3","original_prog14_I-bVII-I-IV.mp3",1.48242098468641,-0.847490665913909,0.16,0.97,2
"29",29,476,6.967002049,12.99388189,12,0.415467213,"prog04_I-V-IV-I_3_maj_3s.mp3","original_prog04_I-V-IV-I.mp3",1.48242098468641,-0.53061205767218,0.16,0.97,3
"30",30,4755,10.52111795,12.87843415,17,0.703285961,"prog34_I-V-bvo-I_4_maj_4s.mp3","original_prog34_I-V-bvo-I.mp3",1.48242098468641,-0.894511097628924,0.16,0.97,4
"31",31,1405,11.86288061,13.57872648,7,0.274970546,"prog10_I-IV-I-V_4_aug_3s.mp3","original_prog10_I-IV-I-V.mp3",1.48242098468641,-1.10934307293675,0.16,0.97,4
"32",32,996,10.31532982,12.99388189,4,0.947912509,"prog08_I-IV-bVII-I_2_maj_5f.mp3","original_prog08_I-IV-bVII-I.mp3",1.48242098468641,-1.36236515018417,0.16,0.97,2
"33",33,4029,10.88699828,12.99388189,8,0.54559929,"prog29_I-IV-V-IV_3_dim_5s.mp3","original_prog29_I-IV-V-IV.mp3",1.48242098468641,-1.12387562213715,0.16,0.97,3
"34",34,2180,10.14076529,12.99388189,11,0.678859805,"prog16_I-bVII-IV-bVII_3_min_3s.mp3","original_prog16_I-bVII-IV-bVII.mp3",1.48242098468641,-1.00498276083253,0.16,0.97,3
"35",35,2295,10.93332969,12.78478819,9,0.758987225,"prog17_i-bVI-bVII-bIII_2_aug_2f.mp3","original_prog17_i-bVI-bVII-bIII.mp3",1.48242098468641,-1.19358631574102,0.16,0.97,2
"36",36,307,10.80298531,12.99388189,10,0.622403636,"prog03_I-V-II-I_2_dim_1f.mp3","original_prog03_I-V-II-I.mp3",1.48242098468641,-1.08748255038059,0.16,0.97,2
"37",37,2005,10.92454067,12.87843415,12,0.703285961,"prog15_I-V-I-IV_2_dim_4f.mp3","original_prog15_I-V-I-IV.mp3",1.48242098468641,-1.07613328202295,0.16,0.97,2
"38",38,5023,10.97556041,12.87900881,11,0.493713246,"prog36_I-viio-I-viio_3_aug_3f.mp3","original_prog36_I-viio-I-viio.mp3",1.48242098468641,-0.998345972401029,0.16,0.97,3
"39",39,4507,10.98187955,12.87843415,13,0.274970546,"prog32_I-viio-IV-I_4_aug_3s.mp3","original_prog32_I-viio-IV-I.mp3",1.48242098468641,-0.849907057249988,0.16,0.97,4
"40",40,773,9.503516028,12.99388189,7,0.259739858,"prog06_I-IV-V-I_3_min_5f.mp3","original_prog06_I-IV-V-I.mp3",1.48242098468641,-0.875330138933675,0.16,0.97,3
"41",41,3471,10.76963793,12.87843415,7,0.274970546,"prog25_I-II-I-V_3_aug_2s.mp3","original_prog25_I-II-I-V.mp3",1.48242098468641,-1.0033196978828,0.16,0.97,3
"42",42,4297,10.82319311,12.87900881,13,0.860980469,"prog31_i-bVII-i-bVII_3_min_4s.mp3","original_prog31_i-bVII-i-bVII.mp3",1.48242098468641,-1.10842263213375,0.16,0.97,3
"43",43,2969,9.806794706,12.87843415,10,0.852723303,"prog22_I-V-IV-V_2_maj_4s.mp3","original_prog22_I-V-IV-V.mp3",1.48242098468641,-1.07761937763461,0.16,0.97,2
"44",44,3232,12.13117475,12.87843415,10,0.758987225,"prog23_i-bVI-bVII-i_4_aug_0.mp3","original_prog23_i-bVI-bVII-i.mp3",1.48242098468641,-1.28307059463322,0.16,0.97,4
"45",45,1560,9.806794706,13.57937487,4,0.852723303,"prog12_I-bVII-I-bVII_2_maj_5f.mp3","original_prog12_I-bVII-I-bVII.mp3",1.48242098468641,-1.27062779779292,0.16,0.97,2
"46",46,619,8.484229344,12.99388189,6,0.852723303,"prog05_I-bVII-IV-I_3_maj_4s.mp3","original_prog05_I-bVII-IV-I.mp3",1.48242098468641,-1.05817489624124,0.16,0.97,3
"47",47,2763,11.01518908,12.99388189,21,0.818045437,"prog20_I-ii-bVII-I_3_aug_1f.mp3","original_prog20_I-ii-bVII-I.mp3",1.48242098468641,-0.880282143295471,0.16,0.97,3
"48",48,231,11.03045312,12.87900881,9,0.48744978,"prog02_I-IV-I-IV_3_aug_4f.mp3","original_prog02_I-IV-I-IV.mp3",1.48242098468641,-1.06903003470818,0.16,0.97,3
"49",49,3596,10.92242378,12.87843415,18,0.263660845,"prog26_I-V-I-II_3_dim_0.mp3","original_prog26_I-V-I-II.mp3",1.48242098468641,-0.727393707965943,0.16,0.97,3
"50",50,41,10.94644015,13.57937487,8,0.818045437,"prog01_I-V-I-V_2_aug_3f.mp3","original_prog01_I-V-I-V.mp3",1.48242098468641,-1.22696824467624,0.16,0.97,2
"51",51,1756,8.983807376,12.99388189,1,0.496172429,"prog13_I-V-II-V_3_min_3f.mp3","original_prog13_I-V-II-V.mp3",1.48242098468641,-1.11890445030976,0.16,0.97,3
"52",52,716,9.806794706,12.99388189,12,0.852723303,"prog06_I-IV-V-I_2_maj_6.mp3","original_prog06_I-IV-V-I.mp3",1.48242098468641,-1.04829983266052,0.16,0.97,2
"53",53,4988,10.52111795,12.87900881,12,0.703285961,"prog36_I-viio-I-viio_3_maj_3s.mp3","original_prog36_I-viio-I-viio.mp3",1.48242098468641,-1.05438797747337,0.16,0.97,3
"54",54,568,10.49199768,3.698495583,16,-2.22e-16,"prog05_I-bVII-IV-I_2_maj_2s.mp3","original_prog05_I-bVII-IV-I.mp3",1.48242098468641,-0.597542626411768,0.16,0.97,2
"55",55,947,10.45396498,12.87843415,10,0.852723303,"prog07_I-II-V-I_4_maj_4f.mp3","original_prog07_I-II-V-I.mp3",1.48242098468641,-1.18924520034154,0.16,0.97,4
"56",56,4103,9.538049423,13.57937487,8,0.259739858,"prog30_I-vi-I-vi_2_min_1s.mp3","original_prog30_I-vi-I-vi.mp3",1.48242098468641,-0.85742876207129,0.16,0.97,2
"57",57,3166,8.937491909,12.99388189,1,0.655551937,"prog23_i-bVI-bVII-i_3_min_3f.mp3","original_prog23_i-bVI-bVII-i.mp3",1.48242098468641,-1.18161280271527,0.16,0.97,3
"58",58,3838,10.92454067,12.78478819,13,0.443290865,"prog28_I-II-V-iii_2_dim_4f.mp3","original_prog28_I-II-V-iii.mp3",1.48242098468641,-0.958030044360923,0.16,0.97,2
"59",59,1943,9.470372712,13.57872648,5,0.259739858,"prog14_I-bVII-I-IV_4_min_2s.mp3","original_prog14_I-bVII-I-IV.mp3",1.48242098468641,-0.957498873301348,0.16,0.97,4
"60",60,1599,5.835235252,12.87900881,8,0.415467213,"prog12_I-bVII-I-bVII_3_maj_1f.mp3","original_prog12_I-bVII-I-bVII.mp3",1.48242098468641,-0.549303011867642,0.16,0.97,3
"61",61,3376,11.71179029,12.87843415,23,0.758987225,"prog24_I-II-iii-I_4_aug_2f.mp3","original_prog24_I-II-iii-I.mp3",1.48242098468641,-0.866959020092655,0.16,0.97,4
"62",62,1324,9.113699292,12.87843415,6,0.852723303,"prog10_I-IV-I-V_3_maj_4s.mp3","original_prog10_I-IV-I-V.mp3",1.48242098468641,-1.12637060562672,0.16,0.97,3
"63",63,2388,11.85825112,12.78478819,9,0.274970546,"prog17_i-bVI-bVII-bIII_4_aug_1s.mp3","original_prog17_i-bVI-bVII-bIII.mp3",1.48242098468641,-1.05293516384014,0.16,0.97,4
"64",64,4619,5.911763726,13.57937487,8,0.496172429,"prog33_I-ii-I-ii_4_min_1f.mp3","original_prog33_I-ii-I-ii.mp3",1.48242098468641,-0.588503516787522,0.16,0.97,4
"65",65,3536,9.99372363,12.87843415,16,0.852723303,"prog26_I-V-I-II_2_maj_6.mp3","original_prog26_I-V-I-II.mp3",1.48242098468641,-0.939849979079269,0.16,0.97,2
"66",66,4396,10.84237666,12.99388189,15,0.263660845,"prog32_I-viio-IV-I_2_dim_1f.mp3","original_prog32_I-viio-IV-I.mp3",1.48242098468641,-0.788340023054277,0.16,0.97,2
"67",67,3679,10.25656879,12.78478819,7,0.496172429,"prog27_I-IV-ii-bVII_2_min_1f.mp3","original_prog27_I-IV-ii-bVII.mp3",1.48242098468641,-1.06785094903443,0.16,0.97,2
"68",68,2612,11.00496348,12.78478819,6,0.704981789,"prog19_I-vi-IV-V_3_dim_2f.mp3","original_prog19_I-vi-IV-V.mp3",1.48242098468641,-1.23707838294404,0.16,0.97,3
"69",69,1453,10.94644015,12.87843415,5,0.758987225,"prog11_I-IV-bVII-IV_2_aug_4f.mp3","original_prog11_I-IV-bVII-IV.mp3",1.48242098468641,-1.2897273283031,0.16,0.97,2
"70",70,993,8.797649093,12.99388189,12,0.742483976,"prog08_I-IV-bVII-I_2_maj_3s.mp3","original_prog08_I-IV-bVII-I.mp3",1.48242098468641,-0.884507792891964,0.16,0.97,2
"71",71,2695,9.538049423,12.99388189,8,0.259739858,"prog20_I-ii-bVII-I_2_min_2s.mp3","original_prog20_I-ii-bVII-I.mp3",1.48242098468641,-0.82027662106431,0.16,0.97,2
"72",72,452,10.92454067,12.99388189,6,0.443290865,"prog04_I-V-IV-I_2_dim_3f.mp3","original_prog04_I-V-IV-I.mp3",1.48242098468641,-1.13106576511494,0.16,0.97,2
"73",73,2185,10.71721455,12.99388189,11,0.860980469,"prog16_I-bVII-IV-bVII_3_min_6.mp3","original_prog16_I-bVII-IV-bVII.mp3",1.48242098468641,-1.14592419139126,0.16,0.97,3
"74",74,179,10.67351652,13.57937487,7,0.274970546,"prog02_I-IV-I-IV_2_aug_1s.mp3","original_prog02_I-IV-I-IV.mp3",1.48242098468641,-1.00637062896297,0.16,0.97,2
"75",75,3414,10.92454067,12.87843415,16,0.650691677,"prog25_I-II-I-V_2_dim_3s.mp3","original_prog25_I-II-I-V.mp3",1.48242098468641,-0.930740045789404,0.16,0.97,2
"76",76,2636,8.284481913,12.78478819,8,0.580018445,"prog19_I-vi-IV-V_4_maj_2s.mp3","original_prog19_I-vi-IV-V.mp3",1.48242098468641,-0.882268790550803,0.16,0.97,4
"77",77,3958,10.01607132,12.87843415,4,0.580018445,"prog29_I-IV-V-IV_2_maj_5s.mp3","original_prog29_I-IV-V-IV.mp3",1.48242098468641,-1.16913439446896,0.16,0.97,2
"78",78,3036,10.88303243,12.99388189,8,0.622403636,"prog22_I-V-IV-V_3_dim_2s.mp3","original_prog22_I-V-IV-V.mp3",1.48242098468641,-1.14147467490516,0.16,0.97,3
"79",79,153,9.444154155,13.57937487,12,0.655551937,"prog02_I-IV-I-IV_2_min_0.mp3","original_prog02_I-IV-I-IV.mp3",1.48242098468641,-0.901312282741289,0.16,0.97,2
"80",80,3652,11.86216489,13.57872648,6,0.703285961,"prog26_I-V-I-II_4_dim_5f.mp3","original_prog26_I-V-I-II.mp3",1.48242098468641,-1.31723709111232,0.16,0.97,4
"81",81,2334,11.05397824,12.78478819,10,0.443290865,"prog17_i-bVI-bVII-bIII_3_dim_4f.mp3","original_prog17_i-bVI-bVII-bIII.mp3",1.48242098468641,-1.01445614380838,0.16,0.97,3
"82",82,2801,12.14892421,12.87843415,2,0.828625868,"prog20_I-ii-bVII-I_4_dim_2s.mp3","original_prog20_I-ii-bVII-I.mp3",1.48242098468641,-1.52831050836433,0.16,0.97,4
"83",83,2449,8.86179175,12.99388189,9,0.580018445,"prog18_I-II-V-II_3_maj_3f.mp3","original_prog18_I-II-V-II.mp3",1.48242098468641,-0.895767570752162,0.16,0.97,3
"84",84,1025,10.67351652,12.99388189,7,0.274970546,"prog08_I-IV-bVII-I_2_aug_1s.mp3","original_prog08_I-IV-bVII-I.mp3",1.48242098468641,-1.01697801560374,0.16,0.97,2
"85",85,4104,10.25656879,13.57937487,8,0.496172429,"prog30_I-vi-I-vi_2_min_2f.mp3","original_prog30_I-vi-I-vi.mp3",1.48242098468641,-1.0214762420696,0.16,0.97,2
"86",86,1706,9.968137363,12.87843415,9,0.7487108,"prog13_I-V-II-V_2_min_1s.mp3","original_prog13_I-V-II-V.mp3",1.48242098468641,-1.09896070687455,0.16,0.97,2
"87",87,797,11.03045312,12.99388189,5,0.48744978,"prog06_I-IV-V-I_3_aug_5f.mp3","original_prog06_I-IV-V-I.mp3",1.48242098468641,-1.20064100470247,0.16,0.97,3
"88",88,1919,10.77328017,12.87843415,17,0.274970546,"prog14_I-bVII-I-IV_3_aug_2f.mp3","original_prog14_I-bVII-I-IV.mp3",1.48242098468641,-0.733784413569977,0.16,0.97,3
"89",89,2219,8.057354907,12.87843415,4,0.580018445,"prog16_I-bVII-IV-bVII_4_maj_5s.mp3","original_prog16_I-bVII-IV-bVII.mp3",1.48242098468641,-0.952994188719092,0.16,0.97,4
"90",90,54,9.51697576,12.87900881,10,0.852723303,"prog01_I-V-I-V_3_maj_4f.mp3","original_prog01_I-V-I-V.mp3",1.48242098468641,-1.06785094903443,0.16,0.97,3
"91",91,1181,7.655369111,12.87900881,12,0.415467213,"prog09_I-II-I-II_3_maj_3s.mp3","original_prog09_I-II-I-II.mp3",1.48242098468641,-0.60258617113867,0.16,0.97,3
"92",92,506,11.02648727,12.99388189,1,0.818045437,"prog04_I-V-IV-I_3_aug_0.mp3","original_prog04_I-V-IV-I.mp3",1.48242098468641,-1.44463033909442,0.16,0.97,3
"93",93,4773,10.95366093,3.583047842,15,1.11e-16,"prog34_I-V-bvo-I_4_dim_1s.mp3","original_prog34_I-V-bvo-I.mp3",1.48242098468641,-0.680270096702997,0.16,0.97,4
"94",94,594,10.92454067,12.99388189,8,0.444469445,"prog05_I-bVII-IV-I_2_dim_3s.mp3","original_prog05_I-bVII-IV-I.mp3",1.48242098468641,-1.07613328202295,0.16,0.97,2
"95",95,1401,11.90517552,13.57872648,7,0.818045437,"prog10_I-IV-I-V_4_aug_1s.mp3","original_prog10_I-IV-I-V.mp3",1.48242098468641,-1.40780759156347,0.16,0.97,4
"96",96,4472,9.71906562,12.87843415,10,0.600184932,"prog32_I-viio-IV-I_4_maj_4f.mp3","original_prog32_I-viio-IV-I.mp3",1.48242098468641,-0.979490245802261,0.16,0.97,4
"97",97,4544,10.84237666,13.57937487,11,0.704981789,"prog33_I-ii-I-ii_2_dim_4s.mp3","original_prog33_I-ii-I-ii.mp3",1.48242098468641,-1.08658191934732,0.16,0.97,2
"98",98,1998,10.92454067,12.87843415,7,0.444469445,"prog15_I-V-I-IV_2_dim_0.mp3","original_prog15_I-V-I-IV.mp3",1.48242098468641,-1.11488364274414,0.16,0.97,2
"99",99,3720,9.062258634,12.78478819,1,0.600184932,"prog27_I-IV-ii-bVII_3_maj_3s.mp3","original_prog27_I-IV-ii-bVII.mp3",1.48242098468641,-1.16327953224024,0.16,0.97,3
"100",100,337,9.74483393,12.99388189,12,0.852723303,"prog03_I-V-II-I_3_maj_4s.mp3","original_prog03_I-V-II-I.mp3",1.48242098468641,-1.03565837730483,0.16,0.97,3
"101",101,2264,10.13471449,12.78478819,10,0.259739858,"prog17_i-bVI-bVII-bIII_2_maj_4s.mp3","original_prog17_i-bVI-bVII-bIII.mp3",1.48242098468641,-0.850390915332457,0.16,0.97,2
"102",102,3996,6.222702584,3.698495583,14,0.415467213,"prog29_I-IV-V-IV_3_maj_1f.mp3","original_prog29_I-IV-V-IV.mp3",1.48242098468641,-0.411189517859868,0.16,0.97,3
"103",103,81,10.84468809,12.87900881,14,0.828625868,"prog01_I-V-I-V_3_dim_5s.mp3","original_prog01_I-V-I-V.mp3",1.48242098468641,-1.07021048165398,0.16,0.97,3
"104",104,969,11.6515456,12.87843415,10,0.569809353,"prog07_I-II-V-I_4_dim_3f.mp3","original_prog07_I-II-V-I.mp3",1.48242098468641,-1.17272993973966,0.16,0.97,4
"105",105,450,10.84237666,12.99388189,6,0.263660845,"prog04_I-V-IV-I_2_dim_2f.mp3","original_prog04_I-V-IV-I.mp3",1.48242098468641,-1.06051224769386,0.16,0.97,2
"106",106,3715,7.192966912,3.904439377,9,0.415467213,"prog27_I-IV-ii-bVII_3_maj_1f.mp3","original_prog27_I-IV-ii-bVII.mp3",1.48242098468641,-0.661888284267896,0.16,0.97,3
"107",107,4659,10.01607132,12.99388189,6,0.580018445,"prog34_I-V-bvo-I_2_maj_3s.mp3","original_prog34_I-V-bvo-I.mp3",1.48242098468641,-1.10505492336218,0.16,0.97,2
"108",108,3177,10.89407855,12.99388189,2,0.828625868,"prog23_i-bVI-bVII-i_3_dim_2s.mp3","original_prog23_i-bVI-bVII-i.mp3",1.48242098468641,-1.43014650312721,0.16,0.97,3
"109",109,4580,10.75376611,12.87900881,15,0.580018445,"prog33_I-ii-I-ii_3_min_5f.mp3","original_prog33_I-ii-I-ii.mp3",1.48242098468641,-0.918877696582088,0.16,0.97,3
"110",110,4266,10.93332969,13.57937487,1,0.758987225,"prog31_i-bVII-i-bVII_2_aug_0.mp3","original_prog31_i-bVII-i-bVII.mp3",1.48242098468641,-1.40273347663094,0.16,0.97,2
"111",111,3565,10.94644015,12.87843415,9,0.758987225,"prog26_I-V-I-II_2_aug_2s.mp3","original_prog26_I-V-I-II.mp3",1.48242098468641,-1.21081110209437,0.16,0.97,2
"112",112,1823,11.78145552,12.87843415,13,0.818045437,"prog13_I-V-II-V_4_aug_1f.mp3","original_prog13_I-V-II-V.mp3",1.48242098468641,-1.1786427043673,0.16,0.97,4
"113",113,3013,9.51697576,12.99388189,6,0.852723303,"prog22_I-V-IV-V_3_maj_3f.mp3","original_prog22_I-V-IV-V.mp3",1.48242098468641,-1.19325168047739,0.16,0.97,3
"114",114,2214,10.25406669,12.87843415,12,0.580018445,"prog16_I-bVII-IV-bVII_4_maj_3f.mp3","original_prog16_I-bVII-IV-bVII.mp3",1.48242098468641,-0.937500360469622,0.16,0.97,4
"115",115,4127,10.86305505,13.57937487,6,0.48744978,"prog30_I-vi-I-vi_2_aug_1s.mp3","original_prog30_I-vi-I-vi.mp3",1.48242098468641,-1.15071413634802,0.16,0.97,2
"116",116,1035,8.127699338,12.99388189,13,0.742483976,"prog08_I-IV-bVII-I_3_maj_1f.mp3","original_prog08_I-IV-bVII-I.mp3",1.48242098468641,-0.754933473239909,0.16,0.97,3
"117",117,413,11.78145552,12.87843415,12,0.48744978,"prog03_I-V-II-I_4_aug_1f.mp3","original_prog03_I-V-II-I.mp3",1.48242098468641,-1.04829983266052,0.16,0.97,4
"118",118,1221,11.04256156,12.87900881,17,0.758987225,"prog09_I-II-I-II_3_aug_5s.mp3","original_prog09_I-II-I-II.mp3",1.48242098468641,-0.976784573941594,0.16,0.97,3
"119",119,4380,10.01607132,12.99388189,13,0.580018445,"prog32_I-viio-IV-I_2_maj_4s.mp3","original_prog32_I-viio-IV-I.mp3",1.48242098468641,-0.896019028577649,0.16,0.97,2
"120",120,813,8.744331443,12.87843415,5,0.241603715,"prog06_I-IV-V-I_4_min_1s.mp3","original_prog06_I-IV-V-I.mp3",1.48242098468641,-0.849423392759424,0.16,0.97,4
"121",121,3294,7.923838885,12.99388189,5,0.600184932,"prog24_I-II-iii-I_3_maj_2f.mp3","original_prog24_I-II-iii-I.mp3",1.48242098468641,-0.94613985626169,0.16,0.97,3
"122",122,2634,7.425766508,12.78478819,14,0.600184932,"prog19_I-vi-IV-V_4_maj_1s.mp3","original_prog19_I-vi-IV-V.mp3",1.48242098468641,-0.636488033298761,0.16,0.97,4
"123",123,2512,9.653097195,12.87843415,7,0.494142086,"prog18_I-II-V-II_4_min_5f.mp3","original_prog18_I-II-V-II.mp3",1.48242098468641,-1.00998756852315,0.16,0.97,4
"124",124,2900,11.00855363,12.87843415,2,0.569809353,"prog21_I-IV-I-bVII_3_dim_5f.mp3","original_prog21_I-IV-I-bVII.mp3",1.48242098468641,-1.30507470486081,0.16,0.97,3
"125",125,634,10.71721455,12.99388189,11,0.860980469,"prog05_I-bVII-IV-I_3_min_6.mp3","original_prog05_I-bVII-IV-I.mp3",1.48242098468641,-1.15649334491364,0.16,0.97,3
"126",126,2172,9.931345596,12.99388189,9,0.947912509,"prog16_I-bVII-IV-bVII_3_maj_5s.mp3","original_prog16_I-bVII-IV-bVII.mp3",1.48242098468641,-1.19124633478914,0.16,0.97,3
"127",127,1773,11.00458779,12.99388189,6,0.72522931,"prog13_I-V-II-V_3_dim_5s.mp3","original_prog13_I-V-II-V.mp3",1.48242098468641,-1.27099135671617,0.16,0.97,3
"128",128,3165,10.74688847,12.99388189,5,0.678859805,"prog23_i-bVI-bVII-i_3_min_2s.mp3","original_prog23_i-bVI-bVII-i.mp3",1.48242098468641,-1.24305642067434,0.16,0.97,3
"129",129,3495,11.39422231,13.57872648,1,0.496172429,"prog25_I-II-I-V_4_min_3f.mp3","original_prog25_I-II-I-V.mp3",1.48242098468641,-1.3547491404689,0.16,0.97,4
"130",130,3777,7.254425304,12.78478819,1,0.580018445,"prog27_I-IV-ii-bVII_4_min_3f.mp3","original_prog27_I-IV-ii-bVII.mp3",1.48242098468641,-0.958030044360923,0.16,0.97,4
"131",131,1195,10.06425877,12.87900881,3,0.7487108,"prog09_I-II-I-II_3_min_4s.mp3","original_prog09_I-II-I-II.mp3",1.48242098468641,-1.25763462651608,0.16,0.97,3
"132",132,1519,9.872938591,12.87843415,9,0.655551937,"prog11_I-IV-bVII-IV_4_min_2f.mp3","original_prog11_I-IV-bVII-IV.mp3",1.48242098468641,-1.038517989825,0.16,0.97,4
"133",133,7,9.641331313,13.57937487,6,0.600184932,"prog01_I-V-I-V_2_maj_4f.mp3","original_prog01_I-V-I-V.mp3",1.48242098468641,-1.09865696635432,0.16,0.97,2
"134",134,739,10.76464098,12.99388189,10,0.828625868,"prog06_I-IV-V-I_2_dim_5s.mp3","original_prog06_I-IV-V-I.mp3",1.48242098468641,-1.13043845040913,0.16,0.97,2
"135",135,4705,8.095704709,12.99388189,8,0.742483976,"prog34_I-V-bvo-I_3_maj_2s.mp3","original_prog34_I-V-bvo-I.mp3",1.48242098468641,-0.924535510598646,0.16,0.97,3
"136",136,1106,11.85545237,12.87843415,11,0.444469445,"prog08_I-IV-bVII-I_4_dim_1f.mp3","original_prog08_I-IV-bVII-I.mp3",1.48242098468641,-1.07970356714482,0.16,0.97,4
